agent,condition,p50_median,ci_lower,ci_upper,ci_logwidth
Claude 3 Opus,metr,7.14025196036737,3.27809704013501,14.751295485599623,1.5040678251198507
Claude 3.5 Sonnet (New),metr,30.42905176573953,14.914722670054054,60.97554633905304,1.4081240803473012
Claude 3.5 Sonnet (Old),metr,19.894705991715668,10.51842262662283,35.828261726851586,1.2256087600464163
Claude 3.7 Sonnet,metr,56.04885343079243,29.207828653076454,92.32086298240394,1.150833372547734
Claude 4 Opus,metr,84.57561264488616,43.11427810925059,142.2113428613334,1.1934600602593086
Claude 4 Sonnet,metr,75.5019046149024,37.858723265033,133.64024026386534,1.2612899926478325
Claude 4.1 Opus,metr,109.432902406055,55.95166471403449,205.3610365494262,1.3002813961076016
Claude Opus 4.5,metr,244.3172484315584,97.1436914661243,873.5942954381902,2.196424837322369
Claude Sonnet 4.5,metr,118.49340040455897,59.715180895902954,226.6596895589193,1.3338634532337856
DeepSeek-R1,metr,28.28121843955796,15.092818056873325,53.52071214304553,1.2658497165395382
DeepSeek-R1-0528,metr,33.75412232349707,13.887830217246066,64.28150484087537,1.5322590186095026
DeepSeek-V3,metr,19.940299978537386,10.073536345307652,34.042748129659905,1.2177052114309825
DeepSeek-V3-0324,metr,24.719119649536278,12.35819553627491,43.467937023000346,1.257704137225767
GPT-2,metr,0.05474192692262225,0.009289345433970655,0.13905118325788773,2.7059739990926626
GPT-4 0125,metr,6.447098496100564,3.2276682780638803,11.292462490988285,1.2523754857485474
GPT-4 0314,metr,6.122562508627324,2.8170810282076086,11.692842111468087,1.4232756167545666
GPT-4 1106,metr,9.459611757662461,4.454569016596548,17.772069712182926,1.38369779291279
GPT-4 Turbo,metr,7.916702549904598,4.1085524570605,13.729198695844936,1.2064540902789327
GPT-4o,metr,10.365617293185576,4.9384496076921325,19.376052969260268,1.3669864832196321
GPT-5,metr,133.48944624503605,65.84781198189967,247.37333550306667,1.3235524749304082
GPT-5.1-Codex-Max,metr,169.7589438173264,80.04730564956928,330.0734515585573,1.4166974296412924
Gemini 2.5 Pro Preview,metr,40.45245341753083,20.235256086991626,70.32110256034684,1.2456454985463334
Grok 4,metr,107.11980779170595,45.2554339125585,214.35945988824815,1.5553315755739305
Kimi K2 Thinking,metr,58.04109495967589,26.423725428164243,100.77418369404124,1.33861991165548
Qwen2-72B,metr,2.5255040718948654,0.9958066847789879,5.854199174675414,1.771361343203013
Qwen2.5-72B,metr,5.763280457180047,2.6182625981893786,12.731621027991583,1.5815777763177685
davinci-002 (GPT-3),metr,0.14383068159601464,0.09345592303685207,0.2224509863023065,0.8672168772831372
gpt-3.5-turbo-instruct,metr,0.556688857243278,0.2511059133356437,1.090358661850061,1.468387153057735
gpt-oss-120b,metr,45.55508468962584,19.831324112240704,84.45174671269575,1.4489176129481938
human,metr,116.3486370894524,51.529369475499784,252.19653063113896,1.588056740818343
o1,metr,42.44939676160416,20.29116782088663,87.16754766144109,1.4576463931435621
o1-preview,metr,23.38967441062227,13.003846505224333,39.098832697995206,1.1008474135609958
o3,metr,92.02510271806665,45.63824931077676,158.16948420906465,1.2429209773805683
o4-mini,metr,78.78114563835642,36.30022357222159,143.47560163267133,1.3743410970121355
Claude 3 Opus,metr+x,6.673946526454383,3.0459912492704904,13.616971485390039,1.4974905364857882
Claude 3.5 Sonnet (New),metr+x,30.28288102563392,14.390944510733235,62.31474589914277,1.465598934236962
Claude 3.5 Sonnet (Old),metr+x,19.52389967516317,10.152148194695933,37.12450671658814,1.2965919820474958
Claude 3.7 Sonnet,metr+x,57.40688160256173,28.435285831732678,98.61581359501275,1.2436007972193404
Claude 4 Opus,metr+x,87.15269532826255,42.722900677573335,150.003000082302,1.255920202342142
Claude 4 Sonnet,metr+x,77.15337249572812,37.315747330563944,143.54071267468672,1.347203288979
Claude 4.1 Opus,metr+x,113.29292639571563,55.63029245526765,214.66204998344494,1.3503370496930611
Claude Opus 4.5,metr+x,258.77209364318674,96.42433128513638,917.7617595968946,2.2531792668101915
Claude Sonnet 4.5,metr+x,121.7881746006628,60.80832401146621,235.39460646900753,1.3535365946830675
DeepSeek-R1,metr+x,27.840350609430338,14.459297241827747,54.40352260601296,1.3250912901530958
DeepSeek-R1-0528,metr+x,33.31737634513903,13.716471280008928,67.41686926670155,1.5922978785753672
DeepSeek-V3,metr+x,19.11850787547968,9.829674852932957,35.64531791118604,1.2882119467494884
DeepSeek-V3-0324,metr+x,23.84394455528819,11.636416189182695,44.72311977459989,1.3463510814462318
GPT-2,metr+x,0.0521883001868763,0.008949093330952843,0.14529497817530532,2.7872137848612772
GPT-4 0125,metr+x,5.852593729726744,2.8737555840193374,10.519873731502912,1.2976464643228884
GPT-4 0314,metr+x,5.6400624149702825,2.4322819677982537,11.255539931420685,1.5320305477011258
GPT-4 1106,metr+x,8.999388842107745,4.058743108538813,16.94253104869984,1.428953744112552
GPT-4 Turbo,metr+x,7.155150815396441,3.738975150874288,13.028367993893717,1.2483175833546467
GPT-4o,metr+x,9.818211301970363,4.468805299287495,19.229772182761355,1.4593386105108757
GPT-5,metr+x,136.42549706954338,67.2551102264467,259.0655354967146,1.3485880584056666
GPT-5.1-Codex-Max,metr+x,172.04435651429083,82.28878804936515,346.92524113136363,1.438874447600629
Gemini 2.5 Pro Preview,metr+x,40.24229200263823,20.224313097797168,74.42501503293602,1.3029066095478383
Grok 4,metr+x,109.53558896860602,44.542311278072944,218.7697513343707,1.5915802603046247
Kimi K2 Thinking,metr+x,58.98331902559624,26.413985369371336,111.6019178910815,1.4410446164787867
Qwen2-72B,metr+x,2.3553390046470266,0.9453369701999642,5.226311157416784,1.7099195384159598
Qwen2.5-72B,metr+x,5.324965649231926,2.514272972454114,11.86334347092813,1.5514695801833402
davinci-002 (GPT-3),metr+x,0.14330315189131898,0.09266196782468487,0.2275448682495147,0.8983893252108546
gpt-3.5-turbo-instruct,metr+x,0.5545978393388874,0.243276807381529,1.1033258244970943,1.5118844540312888
gpt-oss-120b,metr+x,45.866027372477376,18.787213121267705,91.33422312203993,1.5813490745818475
human,metr+x,118.07248563025028,51.87605962557158,260.5741181823655,1.6140299386382033
o1,metr+x,43.00263062603494,19.363865235584903,89.58316446991769,1.5317586932657246
o1-preview,metr+x,22.620195846180067,12.6695778932609,42.44150810514333,1.208923169779327
o3,metr+x,95.71509370306016,43.83533385171013,165.40353601879082,1.3279479598403159
o4-mini,metr+x,80.56373332100118,35.39053797517343,151.83187176866366,1.456329306298795
Claude 3 Opus,x_only,6.8225823569160715,6.069165731879966,7.609979497207554,0.2262393232595425
Claude 3.5 Sonnet (New),x_only,30.400343279238292,27.89073831934713,32.84084308012361,0.16337828277284294
Claude 3.5 Sonnet (Old),x_only,19.4662838511317,17.635842236440954,21.274264790299046,0.18756479449976735
Claude 3.7 Sonnet,x_only,56.948961672775155,52.41260434787713,62.49113082731751,0.17587753651804616
Claude 4 Opus,x_only,86.14818606107002,80.37319422963141,94.27576756040294,0.1595434693396294
Claude 4 Sonnet,x_only,75.6702712876133,70.42036010661414,82.43548290432166,0.15753353458525027
Claude 4.1 Opus,x_only,112.48580657413797,105.44559062394478,121.60521545452994,0.14258476766402012
Claude Opus 4.5,x_only,255.94540480210236,241.13363931592812,276.6186137564842,0.13728841203561618
Claude Sonnet 4.5,x_only,119.85791731992771,112.50109590024739,130.11685651143952,0.14546997999958125
DeepSeek-R1,x_only,27.762507783621214,25.494700423947005,29.959463492705556,0.16137464698201665
DeepSeek-R1-0528,x_only,32.774646551549495,30.29257084627457,35.243428732532095,0.15137659708426976
DeepSeek-V3,x_only,19.412521387516396,17.662760634883636,21.145479777287395,0.1799676562363947
DeepSeek-V3-0324,x_only,24.333033403949056,22.14512079989654,26.455856939118675,0.17786037585096973
GPT-2,x_only,0.052801731313539796,0.04985807777346896,0.05605765419273684,0.11720017540451225
GPT-4 0125,x_only,5.922336803492407,5.218295875158017,6.686352610348214,0.2478976373205823
GPT-4 0314,x_only,5.727863633120651,5.091259001475955,6.400428184957889,0.22883974401974003
GPT-4 1106,x_only,9.040053952725012,8.088983107468179,9.990510507956529,0.2111326675524846
GPT-4 Turbo,x_only,7.236338805810553,6.395450870073597,8.167609872973474,0.24458938078796003
GPT-4o,x_only,9.743307900698174,8.797141084282613,10.751226395980272,0.20059303949946525
GPT-5,x_only,134.79879471497554,127.12011836247044,145.3158744444411,0.13377736415910393
GPT-5.1-Codex-Max,x_only,167.19426561897012,157.96034380376133,179.98667577498261,0.13053881173774737
Gemini 2.5 Pro Preview,x_only,40.67924060812122,37.29701728951594,44.361074144042966,0.1734490184132066
Grok 4,x_only,107.59386832559088,100.52635811794376,116.32380078538301,0.14595772556129288
Kimi K2 Thinking,x_only,58.638162875648135,54.378441320516814,63.700885632385244,0.15823068959924308
Qwen2-72B,x_only,2.4210032533430317,2.167536878218473,2.6643233321901385,0.2063586725554035
Qwen2.5-72B,x_only,5.519133195155694,4.9217859831186725,6.117402891941514,0.2174661730616115
davinci-002 (GPT-3),x_only,0.14490827917635213,0.13687961496658743,0.1542493412170354,0.11946857524492353
gpt-3.5-turbo-instruct,x_only,0.5957712868567403,0.5458300845316537,0.6500345984161969,0.17471786298520914
gpt-oss-120b,x_only,45.54327089295142,42.225885840068656,49.08751306953479,0.15057124463756108
human,x_only,118.2357306265458,110.48136505311827,127.72812381317048,0.14505710757032775
o1,x_only,41.860575354721135,38.78445341645313,44.995192220030205,0.14853616331715797
o1-preview,x_only,22.933476243160225,20.900770836355314,24.990890079102904,0.17872532121075624
o3,x_only,94.20614318673981,88.24061909747138,102.5836833944502,0.15061149786223135
o4-mini,x_only,78.79586009862055,73.41188184465199,85.71672369381575,0.15496214833867775
